   ,mean_fit_time       ,std_fit_time         ,mean_score_time     ,std_score_time        ,param_max_depth ,param_min_samples_leaf ,param_min_samples_split ,param_n_estimators ,params                                                                                   ,split0_test_score  ,split1_test_score  ,split2_test_score  ,split3_test_score  ,mean_test_score    ,std_test_score        ,rank_test_score
44 ,14.893920481204987  ,0.8210156713557663   ,0.8570010662078857  ,0.029130181822686174  ,             20 ,                     2 ,                     10 ,               200 ,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}" ,0.8159516579983765 ,0.8186273036106184 ,0.8201906021705799 ,0.8238884045335658 ,0.8196644920782852 ,0.002871372715335004  ,              1
46 ,10.634183824062347  ,0.5672260795209502   ,0.6796614527702332  ,0.06129253552866985   ,             20 ,                     4 ,                      2 ,               150 ,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 150}"  ,0.8162522923368307 ,0.8178757177644831 ,0.8205212999428795 ,0.8237982142320296 ,0.8196118810690557 ,0.002857163257031326  ,              2
42 , 7.576041340827942  ,0.281606814797409    ,0.44866037368774414 ,0.023869439762346383  ,             20 ,                     2 ,                     10 ,               100 ,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}" ,0.8154405796230045 ,0.8188678110813817 ,0.8203108559059615 ,0.8235877701951116 ,0.8195517542013648 ,0.0029255424755432057 ,              3
47 ,14.653689622879028  ,0.6602027400080558   ,0.8632768988609314  ,0.039952525841300046  ,             20 ,                     4 ,                      2 ,               200 ,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}"  ,0.8159516579983765 ,0.818236478970628  ,0.8200102215675075 ,0.8239184679674112 ,0.8195292066259807 ,0.0029140602889754295 ,              4
38 ,15.49024611711502   ,1.0920316229889138   ,0.9421506524085999  ,0.046596230601049955  ,             20 ,                     2 ,                      2 ,               200 ,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"  ,0.8146288669091784 ,0.8180560983675556 ,0.821573520127469  ,0.8237982142320296 ,0.8195141749090581 ,0.003485187122089964  ,              5
37 ,11.721840679645538  ,0.5991905311895006   ,0.7353276014328003  ,0.06876500114270916   ,             20 ,                     2 ,                      2 ,               150 ,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}"  ,0.8158013408291495 ,0.8188076842136909 ,0.8205513633767249 ,0.8227459940474401 ,0.8194765956167513 ,0.002539637378416622  ,              6
50 ,12.8630650639534    ,0.12011616060757693  ,0.7958484888076782  ,0.002094384025197788  ,             20 ,                     4 ,                      5 ,               200 ,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}"  ,0.8155908967922316 ,0.817725400595256  ,0.8207918708474882 ,0.8237380873643387 ,0.8194615638998286 ,0.0030844244355906444 ,              7
53 ,17.84061896800995   ,0.49444466106121787  ,1.0099869966506958  ,0.019858678667818257  ,             20 ,                     4 ,                     10 ,               200 ,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}" ,0.8155007064906954 ,0.8178155908967922 ,0.8203709827736524 ,0.8238884045335658 ,0.8193939211736765 ,0.0031146138233005185 ,              8
48 , 7.616198241710663  ,0.9327301550741725   ,0.4549604058265686  ,0.049123199408804996  ,             20 ,                     4 ,                      5 ,               100 ,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}"  ,0.8159215945645312 ,0.8177855274629469 ,0.8197697140967442 ,0.8237080239304934 ,0.819296215013679  ,0.002887840860915383  ,              9
41 ,14.314141035079956  ,0.5188253738064844   ,0.896027147769928   ,0.022835896202868116  ,             20 ,                     2 ,                      5 ,               200 ,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"  ,0.8147491206445601 ,0.818958001382918  ,0.8204611730751886 ,0.8227159306135947 ,0.8192210564290654 ,0.002907724302600073  ,             10
51 , 6.871799409389496  ,0.34262866823848     ,0.4311653971672058  ,0.03427256966384203   ,             20 ,                     4 ,                     10 ,               100 ,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}" ,0.815109881850705  ,0.8173045125214202 ,0.8201605387367346 ,0.8239485314012567 ,0.8191308661275292 ,0.003308096371814243  ,             11
40 ,10.581313848495483  ,0.17337891953462672  ,0.679291844367981   ,0.022992714730007614  ,             20 ,                     2 ,                      5 ,               150 ,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}"  ,0.8158614676968403 ,0.8173045125214202 ,0.8195292066259808 ,0.8236779604966479 ,0.8190932868352223 ,0.00295184802855239   ,             12
45 , 7.372640609741211  ,0.2522710900096476   ,0.4404750466346741  ,0.01854270043469021   ,             20 ,                     4 ,                      2 ,               100 ,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}"  ,0.8150497549830141 ,0.817725400595256  ,0.8197697140967442 ,0.8236178336289571 ,0.8190406758259928 ,0.003128069231209912  ,             13
36 , 9.448277533054352  ,1.8907276693080226   ,0.48369550704956055 ,0.03600608746516436   ,             20 ,                     2 ,                      2 ,               100 ,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"  ,0.8155608333583863 ,0.8169136878814298 ,0.8196494603613624 ,0.8238583410997204 ,0.8189955806752247 ,0.003170400776138943  ,             14
49 , 9.66338574886322   ,0.08468639743304752  ,0.6070035696029663  ,0.012712976497204986  ,             20 ,                     4 ,                      5 ,               150 ,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 150}"  ,0.8152601990199321 ,0.8175149565583381 ,0.8195292066259808 ,0.823317199290503  ,0.8189053903736885 ,0.0029611623915060015 ,             15
52 ,12.263790130615234  ,1.1745512677820589   ,0.6856251955032349  ,0.029121610834933042  ,             20 ,                     4 ,                     10 ,               150 ,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 150}" ,0.814238042269188  ,0.8173345759552656 ,0.8204611730751886 ,0.8233773261581938 ,0.8188527793644591 ,0.003415376775246319  ,             16
43 ,13.77864283323288   ,2.6264579735861235   ,0.6837752461433411  ,0.03100963120201089   ,             20 ,                     2 ,                     10 ,               150 ,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 150}" ,0.8142981691368788 ,0.8171541953521931 ,0.819829840964435  ,0.823317199290503  ,0.8186498511860025 ,0.0033298137048363005 ,             17
39 , 7.510320246219635  ,0.41227265907148414  ,0.4799004793167114  ,0.028291955355798867  ,             20 ,                     2 ,                      5 ,               100 ,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}"  ,0.8142681057030334 ,0.8175450199921835 ,0.8191985088536813 ,0.8227760574812855 ,0.818446923007546  ,0.0030652173532004193 ,             18
19 , 9.501998603343964  ,0.17715736519122938  ,0.3991372585296631  ,0.013803660041752501  ,             10 ,                     2 ,                      2 ,               150 ,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}"  ,0.811261762318492  ,0.8126747437092264 ,0.8155307699245408 ,0.8187174939121546 ,0.8145461924661035 ,0.0028574004956274136 ,             19
20 ,12.373878538608551  ,0.14692172373158474  ,0.5327709317207336  ,0.014969478608551525  ,             10 ,                     2 ,                      2 ,               200 ,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"  ,0.8108108108108109 ,0.8123440459369269 ,0.8167333072783574 ,0.818236478970628  ,0.8145311607491807 ,0.003049725697667858  ,             20
18 , 6.089827060699463  ,0.3491276007808007   ,0.2665519714355469  ,0.012745354432566549  ,             10 ,                     2 ,                      2 ,               100 ,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"  ,0.8109010011123471 ,0.8125244265399993 ,0.8163124192045216 ,0.8182665424044734 ,0.8145010973153354 ,0.0029294787817287934 ,             21
