   ,mean_fit_time       ,std_fit_time         ,mean_score_time     ,std_score_time        ,param_learning_rate ,param_n_estimators ,params                                        ,split0_test_score  ,split1_test_score  ,split2_test_score  ,split3_test_score  ,split4_test_score  ,mean_test_score    ,std_test_score        ,rank_test_score
11 ,20.458419275283813  ,0.5848653412336083   ,0.6362086296081543  ,0.09206699169931332   ,                1.0 ,               400 ,"{'learning_rate': 1, 'n_estimators': 400}"   ,0.8125211378753148 ,0.8179700124008868 ,0.8186396091694852 ,0.8188650883126644 ,0.8213077790304397 ,0.8178607253577581 ,0.002898990241451935  ,              1
 7 ,25.244500064849852  ,2.8147367917235084   ,0.8246475219726562  ,0.11483794059627132   ,                0.5 ,               400 ,"{'learning_rate': 0.5, 'n_estimators': 400}" ,0.8113186276351885 ,0.8157153057006501 ,0.8160841788801203 ,0.8151446824502067 ,0.8199924840285607 ,0.8156510557389453 ,0.002759205338087164  ,              2
10 ,10.577420663833617  ,1.2222248471574937   ,0.33927459716796876 ,0.04280213358404202   ,                1.0 ,               200 ,"{'learning_rate': 1, 'n_estimators': 200}"   ,0.8111683138551726 ,0.8146255307955357 ,0.816760616309658  ,0.816760616309658  ,0.8188275084554679 ,0.8156285171450983 ,0.0025960060649192138 ,              3
 6 ,11.73074049949646   ,0.30499674437018426  ,0.3792133331298828  ,0.05644685689758281   ,                0.5 ,               200 ,"{'learning_rate': 0.5, 'n_estimators': 200}" ,0.8093645484949833 ,0.8128593438803502 ,0.8128898910184141 ,0.8131153701615934 ,0.8160465990229238 ,0.8128551505156529 ,0.0021184232245817693 ,              4
 9 , 5.705596494674682  ,0.6961938272669145   ,0.1977537155151367  ,0.02121163398978529   ,                1.0 ,               100 ,"{'learning_rate': 1, 'n_estimators': 100}"   ,0.808199616699861  ,0.8108301078501372 ,0.8134160090191658 ,0.8136039083051484 ,0.8155580608793687 ,0.8123215405507362 ,0.0025507653697047143 ,              5
 5 , 5.603218746185303  ,0.08791903757168186  ,0.21142144203186036 ,0.0374744053778677    ,                0.5 ,               100 ,"{'learning_rate': 0.5, 'n_estimators': 100}" ,0.8052684979895532 ,0.8094021269399873 ,0.8095452837279218 ,0.8093573844419392 ,0.8138669673055242 ,0.8094880520809852 ,0.00272056126184948   ,              6
 8 , 2.5824875354766847 ,0.10208180936951991  ,0.08037371635437011 ,0.012464905056948757  ,                1.0 ,                50 ,"{'learning_rate': 1, 'n_estimators': 50}"    ,0.8044417721994663 ,0.8071849986847545 ,0.8086433671552048 ,0.8097707628711011 ,0.811424276587749  ,0.808293035499655  ,0.0023736493336431993 ,              7
 3 ,22.274939346313477  ,0.7865920842792224   ,0.7468266963958741  ,0.044207224452180276  ,                0.1 ,               400 ,"{'learning_rate': 0.1, 'n_estimators': 400}" ,0.8030513697343203 ,0.8069971064597347 ,0.8066140548665915 ,0.807891770011274  ,0.8120631341600902 ,0.8073234870464022 ,0.0028861048118094634 ,              8
 4 , 2.745833969116211  ,0.019876966195380603 ,0.0985018253326416  ,0.009747381807867066  ,                0.5 ,                50 ,"{'learning_rate': 0.5, 'n_estimators': 50}"  ,0.8016985457141783 ,0.8054939686595769 ,0.8054114994363022 ,0.8059376174370537 ,0.8098835024426907 ,0.8056850267379602 ,0.0025959334210076228 ,              9
 2 ,10.445548963546752  ,0.31406950088187063  ,0.36857261657714846 ,0.018785210888337168  ,                0.1 ,               200 ,"{'learning_rate': 0.1, 'n_estimators': 200}" ,0.7996693096839653 ,0.8035774679643757 ,0.803945885005637  ,0.8051108605787298 ,0.8082675685832393 ,0.8041142183631894 ,0.0027682942051999917 ,             10
 1 , 5.239175033569336  ,0.13516635434244234  ,0.1756570816040039  ,0.005420769622264817  ,                0.1 ,               100 ,"{'learning_rate': 0.1, 'n_estimators': 100}" ,0.7950847393934839 ,0.7964375634136259 ,0.7990229237128899 ,0.7971439308530628 ,0.8008267568583239 ,0.7977031828462773 ,0.0020134165996850343 ,             11
 0 , 2.762193202972412  ,0.14100793971087325  ,0.09496564865112304 ,0.0077499198330083325 ,                0.1 ,                50 ,"{'learning_rate': 0.1, 'n_estimators': 50}"  ,0.7836233136672804 ,0.7830220585472173 ,0.784629838406614  ,0.7834648628335212 ,0.7901540774145058 ,0.7849788301738279 ,0.0026405854109069734 ,             12
12 , 2.6194732666015623 ,0.1276698977923175   ,0.09149527549743652 ,0.005560417907626574  ,                5.0 ,                50 ,"{'learning_rate': 5, 'n_estimators': 50}"    ,0.7182368193604148 ,0.7157566419901544 ,0.7175873731679819 ,0.71717399473882   ,0.7210447200300639 ,0.717959909857487  ,0.0017437642115631755 ,             13
13 , 5.854983139038086  ,0.8222133278885226   ,0.211653995513916   ,0.04108056686324689   ,                5.0 ,               100 ,"{'learning_rate': 5, 'n_estimators': 100}"   ,0.7182368193604148 ,0.7157566419901544 ,0.7175873731679819 ,0.71717399473882   ,0.7210447200300639 ,0.717959909857487  ,0.0017437642115631755 ,             13
14 ,12.305412435531617  ,1.2670157013608128   ,0.4134510040283203  ,0.07684246887737017   ,                5.0 ,               200 ,"{'learning_rate': 5, 'n_estimators': 200}"   ,0.7182368193604148 ,0.7157566419901544 ,0.7175873731679819 ,0.71717399473882   ,0.7210447200300639 ,0.717959909857487  ,0.0017437642115631755 ,             13
15 ,18.850449419021608  ,0.3949116915662492   ,0.6048979759216309  ,0.01754004390863057   ,                5.0 ,               400 ,"{'learning_rate': 5, 'n_estimators': 400}"   ,0.7182368193604148 ,0.7157566419901544 ,0.7175873731679819 ,0.71717399473882   ,0.7210447200300639 ,0.717959909857487  ,0.0017437642115631755 ,             13
