   ,mean_fit_time        ,std_fit_time        ,mean_score_time      ,std_score_time        ,param_learning_rate ,param_max_depth ,param_n_estimators ,params                                                         ,split0_test_score   ,split1_test_score   ,split2_test_score   ,mean_test_score    ,std_test_score        ,rank_test_score
 5 , 49.767404317855835  ,0.8439657789064817  ,0.29041115442911786  ,0.021926409183168828  ,                0.1 ,              5 ,               400 ,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 400}"  ,0.8239949493810738  ,0.829158305336971   ,0.8273506200676437  ,0.8268346249285629 ,0.002139275487868292  ,              1
 4 , 26.29841415087382   ,0.49246153333079135 ,0.17023468017578125  ,0.012318530785926384  ,                0.1 ,              5 ,               200 ,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}"  ,0.8225970102139749  ,0.8274897972988208  ,0.8264487034949267  ,0.8255118370025741 ,0.00210446041901139   ,              2
 2 , 30.094467878341675  ,2.2693118320154477  ,0.18231439590454102  ,0.0024768702574968094 ,                0.1 ,              3 ,               400 ,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400}"  ,0.8217176613830579  ,0.8255958152014611  ,0.8255693348365276  ,0.8242942704736822 ,0.0018219698326898028 ,              3
 6 , 14.068135817845663  ,0.7626340398622536  ,0.1240847110748291   ,0.007222011259140926  ,                0.1 ,             10 ,                50 ,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 50}"  ,0.819913868909382   ,0.8251223196771211  ,0.8240811724915446  ,0.8230391203593492 ,0.0022503917191828613 ,              4
10 , 16.345716953277588  ,2.3066973811544584  ,0.09713276227315266  ,0.00786888672587095   ,                1.0 ,              3 ,               200 ,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 200}"    ,0.8185159297422832  ,0.8244233500935717  ,0.824532130777903   ,0.822490470204586  ,0.0028107753644599554 ,              5
11 , 33.43783402442932   ,0.44377696679880846 ,0.17860825856526694  ,0.007458784531357687  ,                1.0 ,              3 ,               400 ,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 400}"    ,0.8188315934251764  ,0.8245135397172555  ,0.8222322435174746  ,0.8218591255533022 ,0.002334600776422516  ,              6
 7 , 54.57894587516785   ,1.5631466278974187  ,0.35442932446797687  ,0.027487222961781146  ,                0.1 ,             10 ,               200 ,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}" ,0.8180649816238642  ,0.8241302338165994  ,0.8221645997745208  ,0.8214532717383282 ,0.002526698995616638  ,              7
 1 , 18.609237988789875  ,0.7579749262726637  ,0.14146868387858072  ,0.027777276799047314  ,                0.1 ,              3 ,               200 ,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}"  ,0.8178169601587337  ,0.8217176613830579  ,0.8223900789177001  ,0.8206415668198307 ,0.002016075135448098  ,              8
 9 ,  3.5405089060465493 ,0.08457264613097833 ,0.028237024943033855 ,0.00053532697666964   ,                1.0 ,              3 ,                50 ,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 50}"     ,0.8167346846745281  ,0.8212667132646388  ,0.8228184892897407  ,0.8202732957429691 ,0.00258112745756455   ,              9
 8 , 99.69184549649556   ,6.247412814024766   ,0.5915625890096029   ,0.013089776366204354  ,                0.1 ,             10 ,               400 ,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 400}" ,0.815494577348876   ,0.8211314288291132  ,0.820315670800451   ,0.8189805589928133 ,0.0024873568711563476 ,             10
